rank,oversold,overbought,stop_loss_pct,take_profit_pct,total_return,sharpe,sortino,calmar,profit_factor,num_trades,win_rate,max_drawdown,objective,objective_value,status,failure_reason
25,35,65,3,8,0.552781,1.858121,1.696448,4.800809,2.885098,32,0.53125,0.057493,sharpe,1.858121,ok,
26,25,70,3,12,0.1236,1.787727,1.891909,13.809767,0,2,1,0.004469,sharpe,1.787727,ok,
27,25,70,5,12,0.1236,1.787727,1.891909,13.809767,0,2,1,0.004469,sharpe,1.787727,ok,
28,25,70,8,12,0.1236,1.787727,1.891909,13.809767,0,2,1,0.004469,sharpe,1.787727,ok,
29,35,75,5,16,0.550324,1.76437,1.3252,1.912429,3.690513,15,0.533333,0.143684,sharpe,1.76437,ok,
30,35,70,5,8,0.467089,1.755221,1.233951,3.329982,4.172285,18,0.722222,0.070038,sharpe,1.755221,ok,
31,35,70,3,8,0.440302,1.698388,1.180868,3.47761,4.600553,19,0.631579,0.063219,sharpe,1.698388,ok,
32,30,65,3,16,0.38506,1.689382,1.408884,1.993159,3.049515,15,0.4,0.096463,sharpe,1.689382,ok,
33,30,70,3,12,0.191016,1.63146,0.936806,5.997755,0,3,1,0.015902,sharpe,1.63146,ok,
34,30,70,5,12,0.191016,1.63146,0.936806,5.997755,0,3,1,0.015902,sharpe,1.63146,ok,
35,30,70,8,12,0.191016,1.63146,0.936806,5.997755,0,3,1,0.015902,sharpe,1.63146,ok,
36,35,70,8,8,0.414224,1.599218,1.199128,3.265047,3.151422,17,0.764706,0.063346,sharpe,1.599218,ok,
37,35,65,8,8,0.519859,1.589312,1.537851,2.036651,2.202807,27,0.703704,0.127451,sharpe,1.589312,ok,
38,30,65,3,12,0.332389,1.573441,1.215985,2.681131,3.173702,15,0.466667,0.061902,sharpe,1.573441,ok,
39,35,75,5,8,0.356406,1.45495,0.962858,2.5409,3.517394,16,0.6875,0.070038,sharpe,1.45495,ok,
40,25,65,3,16,0.282463,1.424065,1.072755,1.462093,2.613403,14,0.357143,0.096463,sharpe,1.424065,ok,
41,30,65,8,12,0.353729,1.415933,1.10346,1.519361,2.68048,12,0.666667,0.116248,sharpe,1.415933,ok,
42,25,65,3,12,0.25697,1.412203,0.964184,2.072788,2.770901,14,0.428571,0.061902,sharpe,1.412203,ok,
43,35,75,3,8,0.331641,1.392051,0.908035,2.619374,3.820454,17,0.588235,0.063219,sharpe,1.392051,ok,
44,25,65,3,8,0.166066,1.301719,0.896249,1.451201,2.233723,15,0.466667,0.057139,sharpe,1.301719,ok,
45,25,70,3,8,0.0816,1.295055,0.428453,3.152852,0,2,1,0.012923,sharpe,1.295055,ok,
46,25,70,5,8,0.0816,1.295055,0.428453,3.152852,0,2,1,0.012923,sharpe,1.295055,ok,
47,25,70,8,8,0.0816,1.295055,0.428453,3.152852,0,2,1,0.012923,sharpe,1.295055,ok,
48,30,65,5,16,0.295924,1.292685,1.098082,1.211857,2.093503,14,0.428571,0.121928,sharpe,1.292685,ok,
49,35,75,8,8,0.30753,1.292242,0.919803,2.424048,2.661157,15,0.733333,0.063346,sharpe,1.292242,ok,
50,30,65,3,8,0.212709,1.280646,0.824111,1.858796,2.525998,16,0.5,0.057139,sharpe,1.280646,ok,
51,25,65,8,12,0.277103,1.243568,0.884147,1.190231,2.395435,11,0.636364,0.116248,sharpe,1.243568,ok,
52,30,65,5,8,0.222722,1.216071,0.869959,1.230273,2.315176,15,0.6,0.090393,sharpe,1.216071,ok,
53,30,65,5,12,0.259428,1.208699,0.955144,1.55669,2.190698,14,0.5,0.083213,sharpe,1.208699,ok,
54,25,65,5,8,0.175694,1.183961,0.886105,0.970501,2.072641,14,0.571429,0.090393,sharpe,1.183961,ok,
55,30,70,3,8,0.124864,1.049207,0.28595,1.808717,0,3,1,0.03447,sharpe,1.049207,ok,
56,30,70,5,8,0.124864,1.049207,0.28595,1.808717,0,3,1,0.03447,sharpe,1.049207,ok,
57,30,70,8,8,0.124864,1.049207,0.28595,1.808717,0,3,1,0.03447,sharpe,1.049207,ok,
58,30,65,8,8,0.208885,1.012113,0.677615,0.810512,2.107098,13,0.692308,0.128684,sharpe,1.012113,ok,
59,25,65,5,12,0.18814,1.007167,0.711643,1.128926,1.909057,13,0.461538,0.083213,sharpe,1.007167,ok,
60,25,65,5,16,0.199929,0.999024,0.775719,0.818744,1.792032,13,0.384615,0.121928,sharpe,0.999024,ok,
61,30,75,3,16,0.08,0.935351,0,15.212895,0,1,1,0.002626,sharpe,0.935351,ok,
62,30,75,5,16,0.08,0.935351,0,15.212895,0,1,1,0.002626,sharpe,0.935351,ok,
63,30,75,8,16,0.08,0.935351,0,15.212895,0,1,1,0.002626,sharpe,0.935351,ok,
64,25,65,8,8,0.162389,0.92219,0.593032,0.6301,1.895096,12,0.666667,0.128684,sharpe,0.92219,ok,
65,30,65,8,16,0.242138,0.910707,0.7076,0.645568,1.7121,12,0.5,0.187282,sharpe,0.910707,ok,
66,30,75,3,12,0.06,0.689478,0.274541,1.883954,0,1,1,0.015902,sharpe,0.689478,ok,
67,30,75,5,12,0.06,0.689478,0.274541,1.883954,0,1,1,0.015902,sharpe,0.689478,ok,
68,30,75,8,12,0.06,0.689478,0.274541,1.883954,0,1,1,0.015902,sharpe,0.689478,ok,
69,25,65,8,16,0.150128,0.637864,0.467016,0.400258,1.476829,11,0.454545,0.187282,sharpe,0.637864,ok,
70,30,75,3,8,0.04,0.424801,0.079064,0.57942,0,1,1,0.03447,sharpe,0.424801,ok,
71,30,75,5,8,0.04,0.424801,0.079064,0.57942,0,1,1,0.03447,sharpe,0.424801,ok,
72,30,75,8,8,0.04,0.424801,0.079064,0.57942,0,1,1,0.03447,sharpe,0.424801,ok,
73,25,75,3,8,0,0,0,0,,0,0,0,sharpe,0,ok,
74,25,75,3,12,0,0,0,0,,0,0,0,sharpe,0,ok,
75,25,75,3,16,0,0,0,0,,0,0,0,sharpe,0,ok,
76,25,75,5,8,0,0,0,0,,0,0,0,sharpe,0,ok,
77,25,75,5,12,0,0,0,0,,0,0,0,sharpe,0,ok,
78,25,75,5,16,0,0,0,0,,0,0,0,sharpe,0,ok,
79,25,75,8,8,0,0,0,0,,0,0,0,sharpe,0,ok,
80,25,75,8,12,0,0,0,0,,0,0,0,sharpe,0,ok,
81,25,75,8,16,0,0,0,0,,0,0,0,sharpe,0,ok,
