time,open,high,low,close
2024-03-05T00:00:00Z,173.69,174.22,159.05,159.88
2024-03-06T00:00:00Z,159.88,176.71,159.27,175.64
2024-03-07T00:00:00Z,175.64,176.36,164.65,167.45
2024-03-08T00:00:00Z,167.45,176.20,166.65,175.46
2024-03-09T00:00:00Z,175.46,178.15,157.14,157.77
2024-03-10T00:00:00Z,157.77,171.08,154.10,170.58
2024-03-11T00:00:00Z,170.58,176.66,169.80,174.52
2024-03-12T00:00:00Z,174.52,175.19,160.68,164.71
2024-03-13T00:00:00Z,164.71,174.26,164.17,165.25
2024-03-14T00:00:00Z,165.25,165.84,159.78,161.04
2024-03-15T00:00:00Z,161.04,179.82,160.32,178.48
2024-03-16T00:00:00Z,178.48,179.29,156.85,158.08
2024-03-17T00:00:00Z,158.08,167.20,156.72,166.56
2024-03-18T00:00:00Z,166.56,173.59,159.45,159.95
2024-03-19T00:00:00Z,159.95,172.40,157.39,170.97
2024-03-20T00:00:00Z,170.97,171.64,158.92,159.67
2024-03-21T00:00:00Z,159.67,161.86,148.34,161.04
2024-03-22T00:00:00Z,161.04,174.43,160.45,164.55
2024-03-23T00:00:00Z,164.55,165.27,156.73,157.56
2024-03-24T00:00:00Z,157.56,166.52,155.37,163.32
2024-03-25T00:00:00Z,163.32,164.17,149.42,155.12
2024-03-26T00:00:00Z,155.12,167.24,154.28,166.47
2024-03-27T00:00:00Z,166.47,168.09,148.05,148.68
2024-03-28T00:00:00Z,148.68,159.64,146.14,158.90
2024-03-29T00:00:00Z,158.90,161.57,156.89,158.25
2024-03-30T00:00:00Z,158.25,158.84,148.83,156.33
2024-03-31T00:00:00Z,156.33,162.64,150.87,151.70
2024-04-01T00:00:00Z,151.70,152.50,142.88,144.81
2024-04-02T00:00:00Z,144.81,166.94,143.96,165.68
2024-04-03T00:00:00Z,165.68,166.52,143.16,144.09
2024-04-04T00:00:00Z,144.09,152.47,143.31,151.84
2024-04-05T00:00:00Z,151.84,153.52,139.27,140.01
2024-04-06T00:00:00Z,140.01,158.78,137.42,157.96
2024-04-07T00:00:00Z,157.96,159.99,145.00,145.85
2024-04-08T00:00:00Z,145.85,146.55,133.22,138.99
2024-04-09T00:00:00Z,138.99,153.01,138.19,147.06
2024-04-10T00:00:00Z,147.06,147.90,140.42,141.27
2024-04-11T00:00:00Z,141.27,149.21,140.29,148.24
2024-04-12T00:00:00Z,148.24,149.02,129.20,131.24
2024-04-13T00:00:00Z,131.24,146.38,130.56,145.64
2024-04-14T00:00:00Z,145.64,150.13,134.05,134.86
2024-04-15T00:00:00Z,134.86,138.31,127.20,137.46
2024-04-16T00:00:00Z,137.46,139.45,133.06,135.63
2024-04-17T00:00:00Z,135.63,136.43,128.91,134.63
2024-04-18T00:00:00Z,134.63,147.07,133.75,134.40
2024-04-19T00:00:00Z,134.40,135.25,122.54,123.69
2024-04-20T00:00:00Z,123.69,139.86,121.91,139.24
2024-04-21T00:00:00Z,139.24,140.49,123.59,126.05
2024-04-22T00:00:00Z,126.05,132.47,125.49,129.50
2024-04-23T00:00:00Z,129.50,131.78,115.95,116.80
2024-04-24T00:00:00Z,116.80,135.02,113.16,134.19
2024-04-25T00:00:00Z,134.19,135.46,123.91,124.68
2024-04-26T00:00:00Z,124.68,125.52,111.54,117.44
2024-04-27T00:00:00Z,117.44,129.10,116.60,118.86
2024-04-28T00:00:00Z,118.86,121.21,115.02,120.60
2024-04-29T00:00:00Z,120.60,129.94,119.90,127.16
